"No","User Name","Review Count","Review Time","Rating","Review Text"
"974.","Ryan Park","509","2024-01-20","2","Lokasinya bagus, tapi tempat tidur dan selimutnya agak kotor. Saya alergi tungau debu, jadi saya bereaksi sangat buruk terhadap tempat kotor. Jadi saya harus selalu menjaga kebersihan tubuh. Tapi setelah tidur di sini suatu malam, saya mengalami alergi di lengan saya. ㅠ Orang yang saya tempati juga punya alergi serupa, dan seluruh tubuhnya memerah. Saya terbangun di tengah malam karena gatal sekali; Saya sudah menginap di puluhan hotel di Indonesia, dan ini pertama kalinya saya mengalami hal seperti ini. Ini bahkan bukan hotel bintang dua, dan sepertinya mereka belum mendisinfeksinya. Saya sangat kecewa dengan kebersihannya. Saya tidak akan merekomendasikan ini kepada orang yang punya alergi seperti saya. ㅠ"
"975.","John B","715","2018-01-20","2","Hotel yang aneh. Saya di-upgrade ke kamar eksekutif. Percaya atau tidak, kamar ini tidak punya jendela sungguhan? Jendelanya menghadap ke area atrium yang terdapat kolam renang khusus untuk tamu yang menginap di kamar eksekutif. Keuntungannya adalah Anda bisa mendengar anak-anak berteriak dan bermain air di pagi hari. Hotel ini luar biasa. Namun, pemandangan kota dengan sinar matahari langsung akan lebih baik. Desain kamarnya cukup menarik, wastafelnya mewah tapi dangkal sekali, semprotan toiletnya unik tapi agak tidak berfungsi karena perlu ditekan kuat-kuat untuk menyemprot, lalu tombolnya macet dan tidak berhenti menyemprot. Ada lounge eksekutif di hotel, tetapi ketika saya ke sana, semuanya gelap dan terbengkalai. Lokasinya cukup buruk karena tidak ada satu pun tempat makan enak yang bisa dijangkau dengan berjalan kaki. Anda mungkin berpikir pusat kebugarannya bagus karena beroperasi secara independen dan menawarkan keanggotaan untuk umum, tetapi tidak, tempat ini buruk, bahkan untuk ukuran hotel. Dumbbell hingga 15kg. Setidaknya satu mesin tidak berfungsi, pilihan peralatannya secara keseluruhan buruk. Saya juga perlu menyebutkan bahwa pemadaman listrik cukup sering terjadi di sini, entah kenapa, tapi cukup mengganggu. Lalu apa kelebihan hotel ini? WiFi-nya bagus, tidak ada masalah. Tempat tidurnya nyaman, tentu saja, tapi kebanyakan hotel lain juga punya."
"976.","A. Gani","295","2017-01-20","2","Bukan tipe hotel saya, tempat tidur pendek, bau asap meskipun kamar bebas asap rokok"
"977.","Pedro Muhammad Fadhli (Pedronesia)","342","2020-01-20","2","Itu normal."
"978.","Rahman Santalia","822","2018-01-20","2","Senang sekali bisa menginap di sini"
"979.","Roadwarrior IDN (王一博 MTJJ)","129","2017-01-20","2","Hanya sebuah hotel bujet standar"
"980.","Jul Jajuli","23","2020-01-20","2","Oke"
"981.","Chandana Hewage","51","2025-01-20","2","N/A"
"982.","Devi Loren (devlourent)","285","2025-01-20","2","N/A"
"983.","karinna ingleton","1","2024-01-20","2","N/A"
"984.","Ruqyah & rumah therapy bambu Therapy bambu cimahi","12","2023-01-20","2","N/A"
"985.","Faiz Firdaus","57","2023-01-20","2","N/A"
"986.","Yetty Yuniar Chamidy","10","2018-01-20","2","Terlalu mahal"
"987.","Mohammad Ghozali Irawan","3","2025-01-20","2","N/A"
"988.","Muhammad Addnan","2","2024-01-20","2","N/A"
"989.","Sandi Gandara","5","2023-01-20","2","N/A"
"990.","Denniadrul Fakhri","2","2023-01-20","2","N/A"
"991.","Arip Rohman","1","2022-01-20","2","N/A"
"992.","Dmy","19","2021-01-20","2","N/A"
"993.","Hofia Lutfi","10","2020-01-20","2","N/A"
"994.","Rahul Ronny","3","2020-01-20","2","N/A"
"995.","MadmoE Mursalin","43","2020-01-20","2","N/A"
"996.","budi sukses","2","2020-01-20","2","N/A"
